회사명,지역,직무,링크
두타위즈,서울 금천구,"JAVA, Python 웹 개발 신입/경력 사원 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/40556380?Oem_Code=C1&logpath=1&stext=python&listno=87
시스메틱,서울 영등포구,백엔드 엔지니어 모집(Python/Javascript),https://www.jobkorea.co.kr/Recruit/GI_Read/40556690?Oem_Code=C1&logpath=1&stext=python&listno=88
메가스터디아이티아카데미신촌학원,서울 마포구 외,"[메가스터디IT아카데미] 프로그래밍, C언어, JAVA, Python 강사채용",https://www.jobkorea.co.kr/Recruit/GI_Read/40556550?Oem_Code=C1&logpath=1&stext=python&listno=89
㈜디토나인,서울 강남구,(주)디토나인ㅣ파이썬 웹 개발 경력자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40474445?Oem_Code=C1&logpath=1&stext=python&listno=90
㈜업보트엔터,서울 서초구,[경력무관] Python 개발자 정규직 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/40540529?Oem_Code=C1&logpath=1&stext=python&listno=91
㈜어밸브,서울 서초구,"스마트팜 시스템 제어 개발자 채용 (Python, Arduino, C++, Git, Linux 경험자)",https://www.jobkorea.co.kr/Recruit/GI_Read/40507053?Oem_Code=C1&logpath=1&stext=python&listno=92
마이스터정보기술㈜,서울 영등포구,(여의도) xx은행  부동산데이타허브 운영(Python),https://www.jobkorea.co.kr/Recruit/GI_Read/40538093?Oem_Code=C1&logpath=1&stext=python&listno=93
치얼업코리아㈜,전북 익산시,"[치코마켓] 개발직 ( Python, RPA ) 채용 공고",https://www.jobkorea.co.kr/Recruit/GI_Read/40536696?Oem_Code=C1&logpath=1&stext=python&listno=94
미래아이티㈜,서울 송파구,Java/JSP/Python/빅데이터/AI 분야 신입/경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40523000?Oem_Code=C1&logpath=1&stext=python&listno=95
마이스터정보기술㈜,서울 영등포구,(여의도)xx은행 부동산 데이타허브 운영 (Python),https://www.jobkorea.co.kr/Recruit/GI_Read/40507741?Oem_Code=C1&logpath=1&stext=python&listno=96
㈜하이컴텍,서울 금천구,"응용 소프트웨어 병역특례 개발자 모십니다 (C#, Java, Python)",https://www.jobkorea.co.kr/Recruit/GI_Read/40490660?Oem_Code=C1&logpath=1&stext=python&listno=97
더조은컴퓨터학원,서울 구로구,"[더조은컴퓨터학원 구로캠퍼스] 파이썬, 인공지능(AI) 주말반 강사 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/40490647?Oem_Code=C1&logpath=1&stext=python&listno=98
여누솔루션,경기 하남시,"IOT SW 개발자 경력사원 채용(C#, Python, API, .NET, SQL / 데이터통신)",https://www.jobkorea.co.kr/Recruit/GI_Read/40456922?Oem_Code=C1&logpath=1&stext=python&listno=99
㈜디렉셔널,서울 영등포구 외,[Python] 데이터 엔지니어 (신입/경력) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40440046?Oem_Code=C1&logpath=1&stext=python&listno=100
기술좋은직업전문학교,부산 북구 외,[국비전액무료] 빅데이터&자바&파이썬 전문인력 취업연계교육,https://www.jobkorea.co.kr/Recruit/GI_Read/40435327?Oem_Code=C1&logpath=1&stext=python&listno=101
㈜커넥트시스템,경기 용인시,[ AI platform Python기반 Back-End 개발 ],https://www.jobkorea.co.kr/Recruit/GI_Read/40433577?Oem_Code=C1&logpath=1&stext=python&listno=102
스팟인포,경기 고양시 외,파이썬 개발인턴 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/40426474?Oem_Code=C1&logpath=1&stext=python&listno=103
서울디지털인재개발원,서울 구로구,자바(JAVA/Python)을 활용한 빅데이터 서비스엔지니어 과정 강사 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/40415666?Oem_Code=C1&logpath=1&stext=python&listno=104
공간정보기술㈜,경기 성남시,공간정보기술㈜ Python 개발자  신입 및 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40414172?Oem_Code=C1&logpath=1&stext=python&listno=105
마크클라우드,서울 강남구,파이썬 백엔드 / 서버 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/40401657?Oem_Code=C1&logpath=1&stext=python&listno=106
에르타,서울 구로구 외,통계/빅데이터 분야 Python 인력모집,https://www.jobkorea.co.kr/Recruit/GI_Read/40381171?Oem_Code=C1&logpath=1&stext=python&listno=107
㈜커리어게이트,서울 강남구,"프로그래밍 언어 강사채용(C,C++,알고리즘,JAVA,Python)",https://www.jobkorea.co.kr/Recruit/GI_Read/40351619?Oem_Code=C1&logpath=1&stext=python&listno=108
㈜아론그룹,서울 구로구,파이썬(python) 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/40348135?Oem_Code=C1&logpath=1&stext=python&listno=109
㈜한국해양기상기술,서울 구로구,"풀스택 개발자 (python, javascript, php, gis)",https://www.jobkorea.co.kr/Recruit/GI_Read/40325640?Oem_Code=C1&logpath=1&stext=python&listno=110
㈜매크로액트,경기 성남시,로봇 시뮬레이터 Python 개발 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40323657?Oem_Code=C1&logpath=1&stext=python&listno=111
㈜인실리코젠,경기 용인시,파이썬(Python) 신입/경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40307371?Oem_Code=C1&logpath=1&stext=python&listno=112
㈜에이알컴즈,서울 강서구,"백엔드 개발자 경력직 채용 (PHP/CodeIgniter, Python)",https://www.jobkorea.co.kr/Recruit/GI_Read/40290043?Oem_Code=C1&logpath=1&stext=python&listno=113
이젠아카데미컴퓨터학원,경기 성남시,[이젠아카데미컴퓨터학원 분당] 파이썬/C언어/JAVA 재직자 저녁반 강사를 초빙합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/40288540?Oem_Code=C1&logpath=1&stext=python&listno=114
㈜몽태랑인터내셔날,경기 하남시,응용 소프트웨어 개발자(PYTHON) 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40266908?Oem_Code=C1&logpath=1&stext=python&listno=115
농업회사법인에피젠,경기 용인시,"웹개발자,프론트엔드,PHP,자바스크립트,API연동,파이썬",https://www.jobkorea.co.kr/Recruit/GI_Read/40253957?Oem_Code=C1&logpath=1&stext=python&listno=116
㈜페이타랩,서울 강남구 외,"[패스오더] 급성장중인 스타트업 `백엔드(Spring, Python, MSA)` 개발자 경력/인턴 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/40222811?Oem_Code=C1&logpath=1&stext=python&listno=117
유비넷트,일본 도쿄,"일본 도쿄, 시스템 개발, 모바일 앱개발,JAVA, Python, 화상 인식 개발",https://www.jobkorea.co.kr/Recruit/GI_Read/40177435?Oem_Code=C1&logpath=1&stext=python&listno=118
주식회사 그랫,서울 구로구,Python기반 Rest Api 개발,https://www.jobkorea.co.kr/Recruit/GI_Read/40175747?Oem_Code=C1&logpath=1&stext=python&listno=119
아토머스㈜,서울 강남구,파이썬(python) 백엔드 개발자(전문연구요원/산업기능요원 가능),https://www.jobkorea.co.kr/Recruit/GI_Read/40155289?Oem_Code=C1&logpath=1&stext=python&listno=120
센텀직업전문학교,부산 해운대구 외,[ 부산IT 취업 ] 자바(JAVA) 파이썬(Python) 개발자 양성,https://www.jobkorea.co.kr/Recruit/GI_Read/40147648?Oem_Code=C1&logpath=1&stext=python&listno=121
㈜수학에 심장을 달다,서울 양천구,[AI 수학 학습 프로그램] 파이썬 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/40122915?Oem_Code=C1&logpath=1&stext=python&listno=122
바이오커넥트,서울 서초구,(주)바이오커넥트 - [신입 및 경력] 생체정보 영상처리 알고리즘 개발(Python),https://www.jobkorea.co.kr/Recruit/GI_Read/40107286?Oem_Code=C1&logpath=1&stext=python&listno=123
㈜어밸브,서울 서초구,"드론 개발자 채용 (Python 경험자, OpenCV 및 이미지 처리에 대한 기본적인 이해가 있으신 분)",https://www.jobkorea.co.kr/Recruit/GI_Read/40103327?Oem_Code=C1&logpath=1&stext=python&listno=124
㈜어밸브,서울 서초구,"AI(딥러닝) 개발자 채용 (Python, Pytorch, Ubuntu 경험자, AI에 대한 기본적 이해가 있으신 분)",https://www.jobkorea.co.kr/Recruit/GI_Read/40103295?Oem_Code=C1&logpath=1&stext=python&listno=125
한별시스템,서울 강남구,"[강남구청역-대기업 장기] 운영 자동화 설치 및 개발(JAVA, Python), 중급/월700",https://www.jobkorea.co.kr/Recruit/GI_Read/40101968?Oem_Code=C1&logpath=1&stext=python&listno=126
한별시스템,서울 강남구,"[강남구청역-대기업 장기] 백앤드개발(JAVA, Python, SQL), 솔루션 고도화, 중급/월700",https://www.jobkorea.co.kr/Recruit/GI_Read/40101413?Oem_Code=C1&logpath=1&stext=python&listno=127
다중지능연구소,서울 동작구,"플라스크(Flask)프레임워크 사용경력자, 파이썬, 빅데이터 분석가 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/40090709?Oem_Code=C1&logpath=1&stext=python&listno=128
더조은컴퓨터학원,서울 구로구,"[더조은컴퓨터 구로캠퍼스] 빅데이터분석(파이썬, 자바)기반 AI(머신러닝,딥러닝) 강사 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/40083363?Oem_Code=C1&logpath=1&stext=python&listno=129
디에이치오션,부산 사상구,S/W 개발 프로그래머(Python),https://www.jobkorea.co.kr/Recruit/GI_Read/40063238?Oem_Code=C1&logpath=1&stext=python&listno=130
클로우플레이크,서울 강서구,"[신입, 경력] (Python, JavaScript) 분석, 처리 개발입니다.",https://www.jobkorea.co.kr/Recruit/GI_Read/40902238?Oem_Code=C1&logpath=1&stext=python&listno=131
㈜우영씨앤씨,서울 금천구 외,"[DBA/TA] Oracle,DBA,EMC,SW,dell x86,IBM,Java,Python,HP서버",https://www.jobkorea.co.kr/Recruit/GI_Read/40896457?Oem_Code=C1&logpath=1&stext=python&listno=132
㈜우영씨앤씨,서울 금천구 외,"[기타] JAVA,DB,Nexacro,ELK 엔지니어,python,Elastic Query, 설비/물류",https://www.jobkorea.co.kr/Recruit/GI_Read/40896426?Oem_Code=C1&logpath=1&stext=python&listno=133
㈜네스텍,서울 금천구 외,C#/JAVA/파이썬 프로그래머 모집합니다 (완전초보 환영),https://www.jobkorea.co.kr/Recruit/GI_Read/40840134?Oem_Code=C1&logpath=1&stext=python&listno=134
테크온미디어㈜,서울 영등포구,"JAVA 개발자(백엔드, python 등) 모집합니다(경력 3년이상)",https://www.jobkorea.co.kr/Recruit/GI_Read/40834149?Oem_Code=C1&logpath=1&stext=python&listno=135
누리꿈소프트㈜,서울 강남구 외,"[정규직] 데이터분석 python,R 초급 또는 중급인원을 구인합니다.",https://www.jobkorea.co.kr/Recruit/GI_Read/40828487?Oem_Code=C1&logpath=1&stext=python&listno=136
㈜유니시스템,서울 동작구,"[기흥, SM] Python 파이썬, 삼성전자시스템 구축 운영 SM, 즉시부터 12월말, 중급 2명",https://www.jobkorea.co.kr/Recruit/GI_Read/40814256?Oem_Code=C1&logpath=1&stext=python&listno=137
이츠팀(ITsTEAM),광주 북구,임베디드 SW 개발자 채용 [C++/Python],https://www.jobkorea.co.kr/Recruit/GI_Read/40794361?Oem_Code=C1&logpath=1&stext=python&listno=138
마이스터정보기술㈜,서울 마포구,"(공덕역)XXXX증권 빌드시스템 개발( python, jenkins )",https://www.jobkorea.co.kr/Recruit/GI_Read/40761630?Oem_Code=C1&logpath=1&stext=python&listno=139
링크소프트웨어,경기 수원시,"[개발] 삼성전자 Java, Python  SI 업무 입니다.",https://www.jobkorea.co.kr/Recruit/GI_Read/40759286?Oem_Code=C1&logpath=1&stext=python&listno=140
중소기업혁신개발원,대전 서구,"웹프로그래밍 & 앱개발자 모집 ( javascript , JAVA , 파이썬 등)",https://www.jobkorea.co.kr/Recruit/GI_Read/40749972?Oem_Code=C1&logpath=1&stext=python&listno=141
㈜모비데이즈,서울 강남구,"[모비데이즈] 플랫폼 개발팀 (백엔드 - 자바,파이썬 / 안드로이드) 경력직 채용 (-1/31)",https://www.jobkorea.co.kr/Recruit/GI_Read/40703942?Oem_Code=C1&logpath=1&stext=python&listno=142
㈜모비데이즈,서울 강남구,"[모비데이즈] R&D 백엔드/파이썬 개발자(Python, Node.js) 경력직 채용 (-1/31)",https://www.jobkorea.co.kr/Recruit/GI_Read/40703959?Oem_Code=C1&logpath=1&stext=python&listno=143
㈜지아이티아카데미신촌,서울 마포구,파이썬/자바/it 선생님 모십니다,https://www.jobkorea.co.kr/Recruit/GI_Read/40680583?Oem_Code=C1&logpath=1&stext=python&listno=144
인사이너리,서울 강남구,개발자(Python) 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40641234?Oem_Code=C1&logpath=1&stext=python&listno=145
㈜에스알포스트,서울,Python(파이썬) 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/40493868?Oem_Code=C1&logpath=1&stext=python&listno=146
㈜핑거,서울 종로구 외,1금융 자산관리 운영반 파이썬 개발 경력자를 모십니다.(정규직/프리랜서 모두 지원 가능),https://www.jobkorea.co.kr/Recruit/GI_Read/40476166?Oem_Code=C1&logpath=1&stext=python&listno=147
국제컴퓨터아트학원,서울 강동구,[천호캠퍼스] IT 프로그래밍(빅데이터&파이썬&자바) 강사채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40434444?Oem_Code=C1&logpath=1&stext=python&listno=148
이젠컴퓨터아카데미수원,경기 수원시,"AWS 클라우드(자바,웹,C,DB,파이썬,스프링) 강사님 모십니다",https://www.jobkorea.co.kr/Recruit/GI_Read/40423578?Oem_Code=C1&logpath=1&stext=python&listno=149
이젠컴퓨터아카데미수원,경기 수원시,"빅데이터(웹,자바,파이썬,스프링,DB) 강사님 모십니다.",https://www.jobkorea.co.kr/Recruit/GI_Read/40423561?Oem_Code=C1&logpath=1&stext=python&listno=150
유닛스터디,서울 양천구,"자료구조, 알고리즘 강사 채용 (팀장급) (C언어, PYTHON)",https://www.jobkorea.co.kr/Recruit/GI_Read/40410743?Oem_Code=C1&logpath=1&stext=python&listno=151
유닛스터디,서울 양천구,"자료구조, 알고리즘 강사 채용 (C언어, PYTHON)",https://www.jobkorea.co.kr/Recruit/GI_Read/40410540?Oem_Code=C1&logpath=1&stext=python&listno=152
누리꿈소프트㈜,서울 강남구,"[정규직] 데이터분석 python,R 신입사원을 구인합니다.",https://www.jobkorea.co.kr/Recruit/GI_Read/40359034?Oem_Code=C1&logpath=1&stext=python&listno=153
모블,충남 천안시,"프로그래밍 전문 강사 채용 (JAVA, 자바, C, C#, C++, Android, Spring, JavaScript, Python 등 )",https://www.jobkorea.co.kr/Recruit/GI_Read/40290277?Oem_Code=C1&logpath=1&stext=python&listno=154
써니랩아이티코딩컴퓨터학원,인천 연수구,컴세바 동춘점 IT (C언어.JAVA.파이썬.알고리즘.창작물제작)시간강사및 전임강사모집),https://www.jobkorea.co.kr/Recruit/GI_Read/40257470?Oem_Code=C1&logpath=1&stext=python&listno=155
바이오커넥트,서울 서초구,"(주)바이오커넥트 - [신입 및 경력] 영상처리 알고리즘 포팅(Python, C++)",https://www.jobkorea.co.kr/Recruit/GI_Read/40245389?Oem_Code=C1&logpath=1&stext=python&listno=156
머스트컴퓨터학원,경기 김포시,"컴퓨터학원 코딩 강사 모집 - 파이썬, 엔트리, 유니티 등",https://www.jobkorea.co.kr/Recruit/GI_Read/40245639?Oem_Code=C1&logpath=1&stext=python&listno=157
국제컴퓨터아트학원,서울 강동구,IT프로그래밍(빅데이터/파이썬/자바) 강사 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40222618?Oem_Code=C1&logpath=1&stext=python&listno=158
㈜윤성진실전코딩학원,경기 광주시,"어린이 놀이코딩 강사, C언어, JAVA, 파이썬 강사 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/40207486?Oem_Code=C1&logpath=1&stext=python&listno=159
㈜퀄슨,서울 강남구,"[리얼클래스]백엔드개발자(Python, Django)",https://www.jobkorea.co.kr/Recruit/GI_Read/40204109?Oem_Code=C1&logpath=1&stext=python&listno=160
마인드원㈜,서울 강남구,소프트웨어 개발 (Python) 신입 및 경력 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/40184711?Oem_Code=C1&logpath=1&stext=python&listno=161
㈜ 칸테크,서울 금천구,PYTHON / SQLD 개발자 모집 (신입·경력),https://www.jobkorea.co.kr/Recruit/GI_Read/40167106?Oem_Code=C1&logpath=1&stext=python&listno=162
㈜이패스코리아,서울 종로구 외,[이패스비즈] 파이썬(python) 교육과정 강사채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40090914?Oem_Code=C1&logpath=1&stext=python&listno=163
쿼드마이너,서울 강남구,업계 최고 대우로 파이썬(Python) 개발자를 모십니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/40070907?Oem_Code=C1&logpath=1&stext=python&listno=164
㈜지아이티,서울 송파구,현대자동차 그룹사 ㈜지아이티 2023년 상반기 신입 공개채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40899163?Oem_Code=C1&logpath=1&stext=python&listno=165
비아이매트릭스,서울 강남구,2023 상반기 부문별 인재채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40895016?Oem_Code=C1&logpath=1&stext=python&listno=166
㈜홈앤쇼핑,서울 강서구,2022년 상반기 홈앤쇼핑 신입/경력 수시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40888286?Oem_Code=C1&logpath=1&stext=python&listno=167
㈜케이아이엔엑스,서울 강남구 외,2023년 상반기 신입/경력 사원 공개채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40888622?Oem_Code=C1&logpath=1&stext=python&listno=168
삼진제약㈜,서울 마포구 외,2023년 상반기 부문별 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40883495?Oem_Code=C1&logpath=1&stext=python&listno=169
환인제약㈜,서울 송파구 외,환인제약(주) 1월 신입/경력 수시채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40877890?Oem_Code=C1&logpath=1&stext=python&listno=170
현대오토에버㈜,서울,2023년 1분기 현대오토에버 신입/경력사원 대규모 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40868722?Oem_Code=C1&logpath=1&stext=python&listno=171
㈜네오랩컨버전스,서울 구로구,2023년 상반기 경력직 채용(프론트엔드 개발/IOS 개발/안드로이드 개발),https://www.jobkorea.co.kr/Recruit/GI_Read/40863232?Oem_Code=C1&logpath=1&stext=python&listno=172
다인정공,경기 시흥시 외,다인정공 각부문 신입/경력 채용공고,https://www.jobkorea.co.kr/Recruit/GI_Read/40858328?Oem_Code=C1&logpath=1&stext=python&listno=173
(주)이랜드이노플,서울 금천구 외,개발자/엔지니어 경력채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40855539?Oem_Code=C1&logpath=1&stext=python&listno=174
이지샵,서울 중구,이지샵 주식회사 2023년 상반기 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40804106?Oem_Code=C1&logpath=1&stext=python&listno=175
㈜모나미,경기 용인시 외,각 부문별 신입/경력 사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40836180?Oem_Code=C1&logpath=1&stext=python&listno=176
㈜예가람저축은행,서울 강남구,2023 예가람저축은행 디지털 뱅킹 경력 핵심인력 공개 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40824486?Oem_Code=C1&logpath=1&stext=python&listno=177
㈜아이디스,경기 성남시 외,㈜아이디스 2023년 1분기 집중채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40816607?Oem_Code=C1&logpath=1&stext=python&listno=178
㈜비즈테크아이,서울 마포구 외,[LG그룹] 스마트팩토리 영역 국내 및 해외 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/40804607?Oem_Code=C1&logpath=1&stext=python&listno=179
㈜루텍,경기 수원시,2023 신입/경력사원 정기 공개채용 (연구개발/ 품질관리/ 생산/기술영업/ 경영지원),https://www.jobkorea.co.kr/Recruit/GI_Read/40722606?Oem_Code=C1&logpath=1&stext=python&listno=180
